current_x, current_y, calc_x, calc_y, distance
1.98, 0.66, 1.99, 0.77, 0.11
1.97, 0.66, 1.99, 0.77, 0.11
1.97, 0.66, 1.99, 0.77, 0.11
1.96, 0.66, 1.98, 0.77, 0.11
1.95, 0.66, 1.97, 0.77, 0.12
1.95, 0.66, 1.97, 0.77, 0.12
1.94, 0.66, 1.96, 0.78, 0.12
1.93, 0.66, 1.95, 0.78, 0.12
1.92, 0.66, 1.94, 0.78, 0.12
1.91, 0.66, 1.93, 0.78, 0.12
1.91, 0.66, 1.93, 0.78, 0.12
1.90, 0.66, 1.92, 0.78, 0.12
1.89, 0.66, 1.91, 0.78, 0.13
1.88, 0.67, 1.90, 0.79, 0.12
1.88, 0.67, 1.90, 0.79, 0.12
1.87, 0.67, 1.90, 0.79, 0.12
1.86, 0.67, 1.89, 0.79, 0.12
1.86, 0.67, 1.89, 0.79, 0.12
1.85, 0.67, 1.88, 0.79, 0.12
1.84, 0.67, 1.87, 0.79, 0.13
1.84, 0.67, 1.87, 0.79, 0.13
1.83, 0.68, 1.86, 0.80, 0.12
1.82, 0.68, 1.85, 0.80, 0.12
1.82, 0.68, 1.85, 0.80, 0.12
1.81, 0.68, 1.84, 0.80, 0.12
1.80, 0.68, 1.83, 0.80, 0.13
1.80, 0.69, 1.83, 0.80, 0.12
1.79, 0.69, 1.82, 0.81, 0.12
1.79, 0.69, 1.82, 0.81, 0.12
1.78, 0.69, 1.81, 0.81, 0.12
1.78, 0.69, 1.81, 0.81, 0.12
1.77, 0.69, 1.81, 0.81, 0.13
1.76, 0.70, 1.80, 0.81, 0.12
1.76, 0.70, 1.80, 0.81, 0.12
1.75, 0.70, 1.79, 0.82, 0.12
1.75, 0.70, 1.79, 0.82, 0.12
1.74, 0.70, 1.78, 0.82, 0.13
1.74, 0.70, 1.78, 0.82, 0.13
1.73, 0.70, 1.77, 0.82, 0.13
1.73, 0.71, 1.77, 0.82, 0.12
1.72, 0.71, 1.76, 0.83, 0.12
1.72, 0.71, 1.76, 0.83, 0.12
1.71, 0.71, 1.75, 0.83, 0.13
1.71, 0.72, 1.75, 0.83, 0.12
1.70, 0.72, 1.74, 0.83, 0.12
1.69, 0.72, 1.73, 0.83, 0.12
1.69, 0.72, 1.73, 0.83, 0.12
1.68, 0.73, 1.72, 0.84, 0.12
1.68, 0.73, 1.72, 0.84, 0.12
1.67, 0.73, 1.71, 0.84, 0.12
1.67, 0.74, 1.71, 0.84, 0.11
1.66, 0.74, 1.70, 0.85, 0.11
1.66, 0.74, 1.70, 0.85, 0.11
1.65, 0.74, 1.69, 0.85, 0.12
1.64, 0.75, 1.68, 0.85, 0.11
1.64, 0.75, 1.68, 0.85, 0.11
1.63, 0.76, 1.67, 0.86, 0.11
1.62, 0.76, 1.67, 0.86, 0.11
