Projected direction: -53.19, error: -53.19, derivative: 1.42, control var: -14.96, steering_command 143
Projected direction: -54.51, error: -54.51, derivative: -1.32, control var: -17.27, steering_command 151
Projected direction: -53.49, error: -53.49, derivative: 1.02, control var: -15.33, steering_command 144
Projected direction: -54.57, error: -54.57, derivative: -1.09, control var: -17.13, steering_command 150
Projected direction: -54.61, error: -54.61, derivative: -0.04, control var: -16.41, steering_command 148
Projected direction: -54.75, error: -54.75, derivative: -0.14, control var: -16.52, steering_command 148
Projected direction: -52.85, error: -52.85, derivative: 1.90, control var: -14.53, steering_command 141
Projected direction: -53.28, error: -53.28, derivative: -0.42, control var: -16.28, steering_command 147
Projected direction: 9.78, error: 9.78, derivative: 63.06, control var: 47.08, steering_command 0
Projected direction: 10.95, error: 10.95, derivative: 1.16, control var: 4.10, steering_command 76
Projected direction: 7.61, error: 7.61, derivative: -3.33, control var: -0.05, steering_command 91
Projected direction: 16.14, error: 16.14, derivative: 8.52, control var: 10.81, steering_command 53
Projected direction: 15.23, error: 15.23, derivative: -0.90, control var: 3.94, steering_command 77
Projected direction: 13.86, error: 13.86, derivative: -1.37, control var: 3.20, steering_command 79
Projected direction: 15.21, error: 15.21, derivative: 1.35, control var: 5.51, steering_command 71
Projected direction: 12.44, error: 12.44, derivative: -2.77, control var: 1.79, steering_command 84
Projected direction: 12.67, error: 12.67, derivative: 0.23, control var: 3.96, steering_command 77
Projected direction: 15.05, error: 15.05, derivative: 2.38, control var: 6.18, steering_command 69
Projected direction: 15.19, error: 15.19, derivative: 0.14, control var: 4.66, steering_command 74
Projected direction: 15.37, error: 15.37, derivative: 0.18, control var: 4.74, steering_command 74
Projected direction: 15.10, error: 15.10, derivative: -0.27, control var: 4.34, steering_command 75
Projected direction: 18.54, error: 18.54, derivative: 3.44, control var: 7.97, steering_command 63
Projected direction: 15.73, error: 15.73, derivative: -2.81, control var: 2.75, steering_command 81
Projected direction: 16.27, error: 16.27, derivative: 0.54, control var: 5.26, steering_command 72
Projected direction: 14.83, error: 14.83, derivative: -1.44, control var: 3.44, steering_command 79
Projected direction: 16.44, error: 16.44, derivative: 1.61, control var: 6.06, steering_command 69
Projected direction: 14.99, error: 14.99, derivative: -1.45, control var: 3.48, steering_command 78
Projected direction: 15.53, error: 15.53, derivative: 0.54, control var: 5.04, steering_command 73
Projected direction: 15.96, error: 15.96, derivative: 0.43, control var: 5.09, steering_command 73
Projected direction: 11.84, error: 11.84, derivative: -4.12, control var: 0.67, steering_command 88
Projected direction: 15.57, error: 15.57, derivative: 3.73, control var: 7.28, steering_command 65
Projected direction: 16.41, error: 16.41, derivative: 0.84, control var: 5.51, steering_command 71
Projected direction: 14.95, error: 14.95, derivative: -1.45, control var: 3.47, steering_command 78
Projected direction: 14.94, error: 14.94, derivative: -0.02, control var: 4.47, steering_command 75
Projected direction: 16.32, error: 16.32, derivative: 1.39, control var: 5.87, steering_command 70
Projected direction: 9.35, error: 9.35, derivative: -6.98, control var: -2.08, steering_command 98
Projected direction: 16.55, error: 16.55, derivative: 7.21, control var: 10.01, steering_command 56
Projected direction: 15.65, error: 15.65, derivative: -0.90, control var: 4.06, steering_command 76
Projected direction: 16.37, error: 16.37, derivative: 0.72, control var: 5.42, steering_command 72
Projected direction: 15.07, error: 15.07, derivative: -1.31, control var: 3.61, steering_command 78
Projected direction: 13.28, error: 13.28, derivative: -1.78, control var: 2.74, steering_command 81
Projected direction: 10.72, error: 10.72, derivative: -2.57, control var: 1.42, steering_command 86
Projected direction: 14.41, error: 14.41, derivative: 3.69, control var: 6.91, steering_command 66
Projected direction: 11.65, error: 11.65, derivative: -2.76, control var: 1.57, steering_command 85
Projected direction: 14.82, error: 14.82, derivative: 3.16, control var: 6.66, steering_command 67
Projected direction: 16.63, error: 16.63, derivative: 1.81, control var: 6.26, steering_command 69
Projected direction: 15.51, error: 15.51, derivative: -1.12, control var: 3.87, steering_command 77
Projected direction: 15.35, error: 15.35, derivative: -0.15, control var: 4.50, steering_command 75
Projected direction: 16.15, error: 16.15, derivative: 0.79, control var: 5.40, steering_command 72
Projected direction: 15.04, error: 15.04, derivative: -1.11, control var: 3.74, steering_command 77
Projected direction: 15.50, error: 15.50, derivative: 0.46, control var: 4.97, steering_command 73
Projected direction: 14.93, error: 14.93, derivative: -0.57, control var: 4.08, steering_command 76
