Projected direction: 3.60, error: 3.60, derivative: -0.02, control var: 0.70, steering_command 88
Projected direction: 3.79, error: 3.79, derivative: 0.19, control var: 0.93, steering_command 87
Projected direction: 3.50, error: 3.50, derivative: -0.28, control var: 0.45, steering_command 89
Projected direction: 3.48, error: 3.48, derivative: -0.03, control var: 0.67, steering_command 88
Projected direction: 3.49, error: 3.49, derivative: 0.01, control var: 0.71, steering_command 88
Projected direction: 3.57, error: 3.57, derivative: 0.09, control var: 0.79, steering_command 88
Projected direction: 3.51, error: 3.51, derivative: -0.07, control var: 0.64, steering_command 88
Projected direction: 3.63, error: 3.63, derivative: 0.12, control var: 0.83, steering_command 88
Projected direction: 3.61, error: 3.61, derivative: -0.01, control var: 0.71, steering_command 88
Projected direction: 3.54, error: 3.54, derivative: -0.07, control var: 0.64, steering_command 88
Projected direction: 3.67, error: 3.67, derivative: 0.13, control var: 0.86, steering_command 88
Projected direction: 3.27, error: 3.27, derivative: -0.40, control var: 0.29, steering_command 89
Projected direction: 3.41, error: 3.41, derivative: 0.14, control var: 0.81, steering_command 88
Projected direction: 3.36, error: 3.36, derivative: -0.05, control var: 0.62, steering_command 88
Projected direction: 3.27, error: 3.27, derivative: -0.09, control var: 0.58, steering_command 88
Projected direction: 4.80, error: 4.80, derivative: 1.52, control var: 2.33, steering_command 82
Projected direction: 13.13, error: 13.13, derivative: 8.33, control var: 10.13, steering_command 55
Projected direction: 19.54, error: 19.54, derivative: 6.41, control var: 9.68, steering_command 57
Projected direction: 17.24, error: 17.24, derivative: -2.30, control var: 1.38, steering_command 86
Projected direction: -9.97, error: -9.97, derivative: -27.22, control var: -26.49, steering_command 179
Projected direction: -15.85, error: -15.85, derivative: -5.88, control var: -8.46, steering_command 120
Projected direction: -14.00, error: -14.00, derivative: 1.85, control var: -1.14, steering_command 94
Projected direction: -9.79, error: -9.79, derivative: 4.21, control var: 1.83, steering_command 84
Projected direction: -11.82, error: -11.82, derivative: -2.03, control var: -4.19, steering_command 105
Projected direction: -12.57, error: -12.57, derivative: -0.75, control var: -3.19, steering_command 102
Projected direction: -12.65, error: -12.65, derivative: -0.08, control var: -2.60, steering_command 100
Projected direction: -12.59, error: -12.59, derivative: 0.06, control var: -2.46, steering_command 99
Projected direction: -12.62, error: -12.62, derivative: -0.03, control var: -2.55, steering_command 99
Projected direction: -12.59, error: -12.59, derivative: 0.03, control var: -2.49, steering_command 99
Projected direction: -12.60, error: -12.60, derivative: -0.01, control var: -2.53, steering_command 99
Projected direction: -12.63, error: -12.63, derivative: -0.03, control var: -2.56, steering_command 99
Projected direction: -12.43, error: -12.43, derivative: 0.20, control var: -2.30, steering_command 99
Projected direction: -4.89, error: -4.89, derivative: 7.54, control var: 5.80, steering_command 70
Projected direction: -4.64, error: -4.64, derivative: 0.25, control var: -0.70, steering_command 93
Projected direction: -13.98, error: -13.98, derivative: -9.34, control var: -11.20, steering_command 130
Projected direction: -13.88, error: -13.88, derivative: -13.88, control var: -15.26, steering_command 144
Projected direction: -13.93, error: -13.93, derivative: -0.05, control var: -2.83, steering_command 100
Projected direction: -13.85, error: -13.85, derivative: 0.07, control var: -2.70, steering_command 100
Projected direction: -13.88, error: -13.88, derivative: -0.03, control var: -2.80, steering_command 100
Projected direction: -13.89, error: -13.89, derivative: -0.01, control var: -2.79, steering_command 100
Projected direction: -13.90, error: -13.90, derivative: -0.01, control var: -2.79, steering_command 100
Projected direction: -13.93, error: -13.93, derivative: -0.02, control var: -2.81, steering_command 100
Projected direction: -16.53, error: -16.53, derivative: -2.60, control var: -5.65, steering_command 110
Projected direction: -12.72, error: -12.72, derivative: 3.81, control var: 0.89, steering_command 87
Projected direction: 1.12, error: 1.12, derivative: 13.83, control var: 12.67, steering_command 46
Projected direction: 5.23, error: 5.23, derivative: 4.12, control var: 4.75, steering_command 74
Projected direction: 5.33, error: 5.33, derivative: 0.09, control var: 1.15, steering_command 86
Projected direction: 5.19, error: 5.19, derivative: -0.13, control var: 0.92, steering_command 87
Projected direction: 5.05, error: 5.05, derivative: -0.14, control var: 0.89, steering_command 87
Projected direction: 5.28, error: 5.28, derivative: 0.23, control var: 1.26, steering_command 86
Projected direction: 5.50, error: 5.50, derivative: 0.21, control var: 1.29, steering_command 86
Projected direction: 5.20, error: 5.20, derivative: -0.30, control var: 0.77, steering_command 88
Projected direction: 5.37, error: 5.37, derivative: 0.17, control var: 1.23, steering_command 86
Projected direction: 5.21, error: 5.21, derivative: -0.17, control var: 0.89, steering_command 87
Projected direction: 5.32, error: 5.32, derivative: 0.12, control var: 1.17, steering_command 86
Projected direction: 5.18, error: 5.18, derivative: -0.14, control var: 0.91, steering_command 87
Projected direction: 5.22, error: 5.22, derivative: 0.04, control var: 1.08, steering_command 87
Projected direction: 5.28, error: 5.28, derivative: 0.07, control var: 1.12, steering_command 87
Projected direction: 5.26, error: 5.26, derivative: -0.02, control var: 1.03, steering_command 87
Projected direction: 5.11, error: 5.11, derivative: -0.15, control var: 0.89, steering_command 87
